Level.code	Main.food.description
7561	Corn (vegetable), canned/cooked
7562	Corn (vegetable), canned
7563	Popcorn, air-popped
757	Artichokes, (globe or french), canned/cooked
758	Asparagus
7580	Asparagus, raw
7581	Asparagus, cooked
7582	Asparagus, canned
759	Olives, ripe, pickled
76	Specialty_vegetables
760	Eggplant
7600	Eggplant, raw
7601	Eggplant, cooked
761	Okra
7610	Okra, raw
7611	Okra, cooked
762	Mushrooms
7620	Mushrooms, raw
7621	Mushrooms, cooked
7622	Mushrooms, canned/cooked
7623	Mushrooms, dried
763	Celery
7630	Celery, raw
7631	Celery, cooked
764	Fennel bulb, cooked
765	Celeriac, cooked
766	Cucumber, raw
767	Bamboo shoots, canned/cooked
768	Waterchestnuts, canned/cooked
769	Lotus root, cooked
77	Exotic_and_aquatic_vegetables
770	Christophine/chayote, cooked
771	Hearts of palm, cooked
772	Kohlrabi, raw
773	Ginger root, cooked
774	Nopales
7740	Nopales, raw
7741	Nopales, cooked
775	Seaweed
7750	Seaweed, kelp, raw
7751	Seaweed, laver, raw
7752	Seaweed, agar, dried
7753	Seaweed, spirulina, dried
7754	Seaweed, wakame, raw
776	Other_vegetables
7760	Grape leaves, canned/cooked
7761	Wax gourd/winter melon, cooked
7762	Escarole, cooked
7763	Pokeberry shoots (poke), cooked
7764	Yeast extract
7765	Avocado, raw
7766	Tomatillos, cooked
777	Fresh_legume_vegetables
7770	Peas
77700	Peas, edible-podded, raw
77701	Peas, edible-podded, cooked
77702	Peas, green, raw
77703	Peas, green, cooked
77704	Peas, green, canned/cooked
778	Balsam-pear (bitter melon/gourd), pods, cooked
8	Fats_Oils_Salad_Dressings_Condiments_and_Sauces
81	Fats
810	Butter
811	Other_animal_fats
8110	Fat, animal, chicken
8111	Fat, animal, turkey
8112	Fat, animal, beef
82	Oils
820	Oil, vegetable/nut/seed (other than cocoa butter)
83	Condiments
830	Salt
831	Vinegar
832	Flavorings, vanilla extract
833	Capers, canned
834	Horseradish root
835	Sauce, pepper
85	Spices
850	Dried_herbs
8500	Spices, basil, dried
8501	Spices, oregano, dried
8502	Spices, thyme, dried
8503	Spices, marjoram, dried
8504	Spices, sage
8505	Spices, parsley, dried
8506	Spices, coriander (cilantro) leaf, dried
851	Basil, fresh
852	Aromatic_spices
8520	Seed_spices
85200	Spices, caraway seed
85201	Spices, celery seed
85202	Spices, cumin
85203	Spices, mustard seed, ground
8521	Ground_spices
85210	Spices, cinnamon
85211	Spices, cloves, ground
85212	Spices, ginger
85213	Spices, nutmeg
85214	Spices, turmeric, ground
853	Pepper_spices
8530	Spices, pepper, black
8531	Spices, pepper, red/cayenne
8532	Spices, paprika
854	Powder_spices
8540	Spices, garlic powder
8541	Spices, onion powder
8542	Spices, chili powder
8543	Spices, curry powder
8544	Spices, pumpkin pie spice
9	Sugars_Sweets_and_Beverages
91	Sugars_and_sweets
910	Natural_sweeteners
9100	Honey
9101	Molasses
9102	Syrup, maple
9103	Syrup, sorghum
9104	Syrup, agave
911	Sugars
912	Syrup, corn
92	Baking_ingredients
920	Chocolate, unsweetened
921	Cocoa, dry powder, unsweetened
922	Gelatin, dry powder, unsweetened
923	Protein, milk/whey concentrate/isolate
93	Non_alcoholic_beverages
930	Water
9300	Water, tap
9301	Water, bottled
931	Coffee_and_tea
9310	Coffee beans/grounds/instant powder
9311	Tea_varieties
93110	Tea, green, leaves
93111	Tea, black, leaves
93112	Tea, black, instant powder
93113	Tea, herbal, leaves/flowers/seeds
93114	Tea, oolong, leaves
932	Nuts, coconut water (liquid from coconuts)
94	Alcoholic_beverages
940	Distilled_spirits
9400	Beverage, alcoholic, distilled
9401	Beverage, alcoholic, liqueur
941	Wine
9410	Wine, table, NS as to red/white
9411	Wine, table, white
9412	Wine, table, rose
9413	Wine, sweet, NS as to red/white
942	Beverage, alcoholic, rice (sake)
943	Juice, apple (alcoholic)
